id,name,category,composition,width,pricePerMetre,mrp,minMetres,stock,tags,image,blurb
aurelia-tulle,Aurelia Hand-Embroidered Tulle,Bridal,Silk Tulle · Zardozi & Bead Work,44 in,6800,7900,2,in,best-seller|festival,/images/fabrics/f01.jpg,Whisper-light tulle with hand-couched gold zardozi — the house bridal signature.
noor-organza,Noor Pearl Organza,Bridal,Pure Silk Organza · Pearl Work,44 in,4200,,2,low,new-arrival,/images/fabrics/f02.jpg,Crisp organza seeded with hand-sewn pearls. Holds sculptural shape beautifully.
celestine-net,Celestine Beaded Net,Bridal,Silk Net · Crystal Beadwork,44 in,5600,,2,out,best-seller,/images/fabrics/f03.jpg,Crystal-beaded net that catches every light. Restocking shortly.
isabeau-satin,Isabeau Duchess Satin,Bridal,100% Silk Duchess Satin,58 in,3900,,2,in,seasonal,/images/fabrics/f04.jpg,"Heavy, structured and luminous — the classic gown fabric."
banarasi-kadhwa,Banarasi Kadhwa Brocade,Heritage,Katan Silk · Tested Real Zari,45 in,8500,9800,2,in,best-seller|festival|wholesale,/images/fabrics/f05.jpg,"Handwoven kadhwa bootis in real zari, straight from Varanasi looms."
kanjivaram-temple,Kanjivaram Temple Silk,Heritage,Pure Mulberry Silk · Silver-Gold Zari,46 in,7200,8400,2,in,festival|wholesale,/images/fabrics/f06.jpg,Korvai-woven temple border in contrast — a South Indian heirloom.
tussar-ghicha,Tussar Ghicha Handloom,Heritage,100% Tussar Silk (Handloom),44 in,2400,,3,low,seasonal|wholesale,/images/fabrics/f07.jpg,Textured ghicha slubs with a natural honey tone. Breathes wonderfully.
rajwada-velvet,Rajwada Zardozi Velvet,Heritage,Silk Velvet · Zardozi & Dabka Work,44 in,9600,,2,in,festival|new-arrival,/images/fabrics/f08.jpg,Plush plum velvet under an all-over gold jaal. Unapologetically regal.
midnight-crepe,Midnight Crêpe de Chine,Contemporary,100% Silk Crêpe de Chine,44 in,2900,,2,in,new-arrival,/images/fabrics/f09.jpg,Fluid matte crêpe that drapes like liquid. Perfect for evening wear.
atelier-linen-silk,Atelier Linen-Silk,Contemporary,55% Linen · 45% Silk,54 in,1850,,3,in,seasonal|wholesale|best-seller,/images/fabrics/f10.jpg,"Slubbed, breathable and quietly luxurious — the summer favourite."
moonstone-satin,Moonstone Liquid Satin,Contemporary,100% Silk Satin (Sand-washed),54 in,3400,,2,out,new-arrival,/images/fabrics/f11.jpg,Sand-washed satin with a soft molten sheen. Back in stock soon.
architectural-dupion,Architectural Dupion Raw Silk,Contemporary,100% Raw Silk (Dupion),44 in,1650,,3,in,wholesale|seasonal,/images/fabrics/f12.jpg,Crisp body that holds a shape — a tailor’s dependable workhorse.
